Question type,Keyword triggers,Short answer,Medium answer,Long answer,Last updated
Work authorization,authorization;sponsorship;visa,OPT until 2026-08; open to sponsorship after OPT,"I am on OPT (F-1) until Aug 2026 and open to sponsorship thereafter.","I am currently on F-1 OPT which is valid until August 2026. I have prior CPT authorization for internships and am open to discussing sponsorship options if the role requires long-term sponsorship.",2026-02-21
Address,address;residence;city,UCLA campus address,UCLA campus address: 123 UCLA Ave, Los Angeles, CA 90095,"123 UCLA Ave, Los Angeles, CA 90095. This is my current campus address during the academic term. I can provide a permanent/home address upon request.",2026-02-21
Why us,why;why this;motivation,"I am excited about this role because it matches my research interests.","The role aligns with my experience in [area] and offers opportunities to apply [skill]. I'm excited to contribute to the team by...","I am passionate about applying quantitative methods to real-world problems. At UCLA I focused on [topic], which maps well to this role's responsibilities such as building models and analyzing risk. I'm confident I can add value through both technical skills and collaboration.",2026-02-21
Tell me about yourself,tell me;about yourself,Short elevator pitch,"I am a quantitative researcher with experience in factor modeling and risk analysis.","I am a quantitative researcher with a background in financial engineering and software engineering. I have built factor models, backtested signals, and implemented data pipelines. I enjoy collaborating with PMs and engineers to turn ideas into production." ,2026-02-21
Leadership,leadership;managed;led,Led a course project on risk model,Led a team of 3 on a portfolio allocation project,"I led a team of three students developing a market risk dashboard. I coordinated tasks, performed model validation, and presented findings to stakeholders, which improved our process and deliverables.",2026-02-21
Failure,failure;mistake,Learned from data leakage bug,"I shipped an experiment with data leakage, then fixed pipeline and added tests.","In an early backtest I overlooked a data leakage issue that inflated performance. I fixed the pipeline, re-ran experiments, added checks, and documented the process to prevent recurrence. The final model had robust, reproducible results.",2026-02-21
Salary,salary;compensation,Open to market rate,"I expect a market-competitive salary; flexible depending on total comp.","I prefer a compensation package that is competitive for this role and location. I value opportunities for growth, benefits, and team fit. I am flexible and open to discussing in more detail.",2026-02-21
Relocation,relocate;remote,Open to relocation,Open to relocation depending on role and timeline,"I am open to relocating for the right opportunity and can be available within a standard relocation timeline; remote and hybrid options are also welcome.",2026-02-21
Start date,start date;availability,Available June 2026,Available from June 2026; can negotiate,"I will be available to start in June 2026; if needed, I can negotiate a slightly different start date to accommodate transitions.",2026-02-21
Tech stack,python;sql;tableau,Python, SQL experience,"I use Python (pandas, numpy), SQL for querying, and have experience with Tableau and Looker for dashboards.",2026-02-21
Quant methods,factor;alpha;backtest,Experience building factors,"I have built and backtested factors and signals in Python.","I have experience designing factor pipelines: feature engineering, cross-sectional normalization, backtesting with walk-forward validation, and analyzing transaction costs and turnover.",2026-02-21
Risk methods,var;stress;scenario,Worked on VaR scenarios,"Experience with VaR calculations and scenario analysis.","I have implemented parametric and historical VaR, ran stress tests and built exposure reports. I am familiar with risk metrics and regulatory considerations.",2026-02-21
Teamwork,collaborate;teamwork,cross-functional experience,"I worked with PMs and engineers to put models into production.","Collaborated closely with PMs, engineers, and stakeholders to shape product requirements and deploy models. I emphasize clear communication and reproducible pipelines.",2026-02-21
Clearance,security clearance,No security clearance required,No, currently do not hold clearance,"I do not currently hold a security clearance. If clearance is required, I am willing to discuss the process and timeline.",2026-02-21
Education,degree;gpa;graduation,M.S. Financial Engineering,Grad: UCLA M.S. Financial Engineering 2026,"I completed an M.S. in Financial Engineering at UCLA with coursework in stochastic calculus, optimization, and machine learning.",2026-02-21
Publications,publication;paper,No publications yet,NA,"I have not published in peer-reviewed journals yet; I have technical reports and project write-ups available on request.",2026-02-21
Authorization details,cpt;opt;work auth,Eligible for CPT/OPT,"Eligible for CPT during studies; OPT until Aug 2026.","I am eligible for CPT for internships during the academic program and currently on OPT which expires in Aug 2026. I am open to employer sponsorship discussions for longer-term roles.",2026-02-21
DEI,ethnicity;race;gender,Prefer not to say,"Prefer not to disclose; follow company forms.","I generally prefer to follow standard company DEI options. If a form is required, I will provide the information as requested. Otherwise, I prefer not to proactively disclose beyond what is necessary.",2026-02-21
Other,other;misc,N/A,N/A,"If unsure, default to 'N/A' and add to QuestionBank for future handling.",2026-02-21